Price,Close,High,Low,Open,Volume,PE_Ratio,ROE,EPS,Revenue,NetIncome,Revenue_to_NetIncome,RSI,MACD,MACD_Signal,MACD_Hist,SMA_50,EMA_50,StdDev_20,ATR_14,Month,Year,Upcoming_Earnings
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,59.25791931152344,61.20913545401907,58.732592172693536,59.88976507646557,271857200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,43.66128851427842,-3.8253152665643455,-2.9445776847621463,-0.8807375818021992,72.94159927368165,70.50591208888218,5.1480548628117635,4.935627817828589,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-20,55.49589920043945,60.96463122654848,55.195710672226056,59.8389270162078,401693200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,33.86074484837589,-4.222581107475307,-3.2001783693047785,-1.0224027381705283,72.58702919006348,69.91728413247267,5.36087594347693,4.862138182015371,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-23,54.31694030761719,55.31675861475192,51.47000473892812,55.21508274022157,336752800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,34.60246341339503,-4.579756693856034,-3.4760940342150297,-1.103662659641004,72.17777290344239,69.30550594326266,5.780015295401179,4.834989521273296,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-24,59.766300201416016,59.96238962255932,56.72085240856594,57.21954987318864,287531200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,37.30454071001772,-4.372697384605068,-3.6554147042930376,-0.7172826803120307,71.87412246704102,68.9314194435824,5.805792105917275,4.994764800044122,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-25,59.43707275390625,62.518832565929536,59.141726957014214,60.7031839918948,303602000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,38.7964585738114,-4.186903279043349,-3.7617124192431004,-0.42519085980024895,71.53186279296875,68.55909212241863,5.739351813935388,5.040068276943125,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-26,62.564823150634766,62.62292153490078,59.640418371654654,59.679153090462734,252087200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,43.065695412212214,-3.7441169449862457,-3.75819332439173,0.014076379405484118,71.27283210754395,68.32402275097613,5.730523336761423,5.065487278871468,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-27,59.97450637817383,61.9426669648738,59.807466114568854,61.187358323126006,204216800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,45.57843631008624,-3.561171531833139,-3.718788965880012,0.15761743404687278,70.96846740722657,67.99659073635642,5.776180056403018,4.812333280512017,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-30,61.68605041503906,61.85793342734731,60.376361777058186,60.700760441559225,167976400,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,42.22402060278427,-3.2407216521275473,-3.623175503129519,0.38245385100197193,70.67949554443359,67.749118566893,5.420379882471765,4.596356304006873,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-31,61.5601692199707,63.545277612218875,61.00579280749305,61.87730561089299,197002000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,44.34516751801117,-2.962767435416339,-3.4910938895868835,0.5283264541705446,70.3711483001709,67.50641467093527,5.183004885974536,4.5446531542927415,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-01,58.321041107177734,60.211735481582174,57.89012756934183,59.67430332649324,176218400,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,47.88559716170383,-2.9696252924560866,-3.386800170160724,0.41717487770463757,70.00845199584961,67.14620394294478,4.635692294143659,4.332482558810229,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-02,59.29423522949219,59.34749454652656,57.350281239576255,58.18305925799057,165934000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,38.79085448102374,-2.8635226545395724,-3.282144667036494,0.41862201249692177,69.65976119995118,66.83828360124076,4.167059964086458,3.927160003809146,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-03,58.442100524902344,59.48064994321993,57.85140889738694,58.77860059874803,129880000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,49.65261141212602,-2.815737627996313,-3.1888632592284583,0.37312563123214515,69.2866372680664,66.50902151981573,3.6955603769173515,3.386960287891231,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-06,63.540428161621094,63.69535964141811,60.37151755059765,60.73948627952092,201820400,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,53.827166319907214,-2.3395068398495695,-3.0189919753526806,0.6794851355031111,69.01992370605468,66.39260609400418,3.655185186331707,3.4300160478000703,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-07,62.80449676513672,65.77490274638198,62.70040134680594,65.55701899354938,202887200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,55.21244264530704,-1.9984372814501725,-2.8148810365721793,0.8164437551220067,68.78370300292968,66.25189592424468,3.1423922632073324,3.377449100820034,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-08,64.4119644165039,64.72667394842254,63.24026650501276,63.6058121393102,168895200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,58.372055037489844,-1.580212290213936,-2.5679472873005307,0.9877349970865947,68.53741500854493,66.17974174747053,2.942601096162539,3.3378515223886263,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-09,64.87674713134766,65.38029109822737,64.0802880085237,65.04863383479294,161834800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,67.06601337697666,-1.1974583364633773,-2.2938494971331003,1.096391160669723,68.26830154418946,66.12864391938729,3.106917147213093,3.0186431320587164,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-13,66.1501235961914,66.25906545571533,64.35383885573385,64.95421592166439,131022800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,71.45369857298924,-0.7823537448882192,-1.9915503466841242,1.209196601795905,68.02692611694336,66.12948625965412,2.98611267745871,2.867166856235155,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-14,69.49092102050781,69.78142775121215,67.31214270390448,67.78421429432576,194994800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,69.09044806239423,-0.18171127895208627,-1.6295825331377167,1.4478712541856305,67.92172897338867,66.26130723066798,3.5488965575103455,2.7232993448121983,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-04-15,68.85665130615234,69.31661411100032,67.93672569645638,68.365216078865,131154400,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,68.27277253395722,0.24035131719119818,-1.2555957630719339,1.495947080263132,67.8079525756836,66.36308542970659,3.948919407637512,2.5930914673219205,4,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
